SIGO,PDR,,,,,,,,,,,,,,,,,,,,
20,26.5,28.55555556,10046,,,,,,,,,,,,,,,,,,
46.66666667,32,18.85714286,10047,,,,,,,,,,,,,,,,,,
41,24.2,17.77777778,10048,,,,,,,,,,,,,,,,,,
64.5,25.83333333,21.11111111,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LSGO,Overhead,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
43,33,21.25,10001,,,,,,,,,,,,,,,,,,
88,52.5,18.71428571,10002,,,,,,,,,,,,,,,,,,
68.5,16.66666667,23.33333333,10003,,,,,,,,,,,,,,,,,,
42.33333333,31.8,26.57142857,10004,,,,,,,,,,,,,,,,,,
42.66666667,28.33333333,27.71428571,10005,,,,,,,,,,,,,,,,,,
36,38,23.57142857,10006,,,,,,,,,,,,,,,,,,
55.33333333,21.85714286,26.125,10007,,,,,,,,,,,,,,,,,,
167,18.8,29,10008,,,,,,,,,,,,,,,,,,
40.5,33.5,27.5,10009,,,,,,,,,,,,,,,,,,
45.5,20.5,25.57142857,10010,,,,,,,,,,,,,,,,,,
65.5,21,21.57142857,10011,,,,,,,,,,,,,,,,,,
66.5,30.25,23,10012,,,,,,,,,,,,,,,,,,
52.5,34.75,19.11111111,10013,,,,,,,,,,,,,,,,,,
58,43.2,31.8,10014,,,,,,,,,,,,,,,,,,
49,23.4,29,10015,,,,,,,,,,,,,,,,,,
125,22.16666667,22.66666667,10016,,,,,,,,,,,,,,,,,,
34.33333333,27.75,21.5,10017,,,,,,,,,,,,,,,,,,
50,36.2,27,10018,,,,,,,,,,,,,,,,,,
34.66666667,34.5,26.14285714,10019,,,,,,,,,,,,,,,,,,
66.5,35,24.88888889,10020,,,,,,,,,,,,,,,,,,
38.33333333,38,22.22222222,10021,,,,,,,,,,,,,,,,,,
55.5,23.375,24.57142857,10022,,,,,,,,,,,,,,,,,,
66.5,39.25,25,10023,,,,,,,,,,,,,,,,,,
50.5,42.5,27.66666667,10024,,,,,,,,,,,,,,,,,,
45.66666667,32.8,30.14285714,10025,,,,,,,,,,,,,,,,,,
67,31.5,28,10026,,,,,,,,,,,,,,,,,,
28.75,31,29.125,10027,,,,,,,,,,,,,,,,,,
90,33.4,27.22222222,10028,,,,,,,,,,,,,,,,,,
56.5,26.85714286,18.875,10029,,,,,,,,,,,,,,,,,,
33.5,22.16666667,24.25,10030,,,,,,,,,,,,,,,,,,
57,33.8,21.875,10031,,,,,,,,,,,,,,,,,,
52.33333333,23.8,26.5,10032,,,,,,,,,,,,,,,,,,
69,31.8,27,10033,,,,,,,,,,,,,,,,,,
78,19.28571429,22.55555556,10034,,,,,,,,,,,,,,,,,,
47.5,25.2,25.5,10035,,,,,,,,,,,,,,,,,,
53,30.8,26.375,10036,,,,,,,,,,,,,,,,,,
48.66666667,22,30,10037,,,,,,,,,,,,,,,,,,
33.75,33.33333333,26.33333333,10038,,,,,,,,,,,,,,,,,,
34,16.33333333,28,10039,,,,,,,,,,,,,,,,,,
56,23.75,21.22222222,10040,,,,,,,,,,,,,,,,,,
79,28.25,29.66666667,10041,,,,,,,,,,,,,,,,,,
32,33.83333333,21.88888889,10042,,,,,,,,,,,,,,,,,,
49,29.6,31.85714286,10043,,,,,,,,,,,,,,,,,,
118,27,28,10044,,,,,,,,,,,,,,,,,,
25.25,29.5,28.22222222,10045,,,,,,,,,,,,,,,,,,
34.5,20.2,22.22222222,10046,,,,,,,,,,,,,,,,,,
94.5,47.5,18.5,10047,,,,,,,,,,,,,,,,,,
45.66666667,23.5,19.66666667,10048,,,,,,,,,,,,,,,,,,
111,43.5,16.4,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIGO,Hop,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
13.8,12.71428571,11.71428571,10001,,,,,,,,,,,,,,,,,,
11,12.2,11.8,10002,,,,,,,,,,,,,,,,,,
14,11.66666667,13.33333333,10003,,,,,,,,,,,,,,,,,,
15,10.5,13.44444444,10004,,,,,,,,,,,,,,,,,,
12.33333333,11,11.77777778,10005,,,,,,,,,,,,,,,,,,
13.75,11.4,12.625,10006,,,,,,,,,,,,,,,,,,
14,10.5,13.11111111,10007,,,,,,,,,,,,,,,,,,
15.5,11,12.625,10008,,,,,,,,,,,,,,,,,,
14.66666667,11.66666667,12.875,10009,,,,,,,,,,,,,,,,,,
15,11.28571429,12,10010,,,,,,,,,,,,,,,,,,
15.66666667,10.71428571,12.75,10011,,,,,,,,,,,,,,,,,,
12.5,11.375,12.5,10012,,,,,,,,,,,,,,,,,,
15,14.16666667,13.125,10013,,,,,,,,,,,,,,,,,,
13,10.6,12.75,10014,,,,,,,,,,,,,,,,,,
15.25,11.33333333,13.33333333,10015,,,,,,,,,,,,,,,,,,
14,10.83333333,13,10016,,,,,,,,,,,,,,,,,,
13.33333333,10.4,12,10017,,,,,,,,,,,,,,,,,,
11.66666667,11.66666667,12.77777778,10018,,,,,,,,,,,,,,,,,,
11.25,12.5,13.71428571,10019,,,,,,,,,,,,,,,,,,
13,9.75,12.8,10020,,,,,,,,,,,,,,,,,,
11,11.33333333,12.11111111,10021,,,,,,,,,,,,,,,,,,
12.5,12.625,13.55555556,10022,,,,,,,,,,,,,,,,,,
14,11,13.33333333,10023,,,,,,,,,,,,,,,,,,
12,11.5,12.42857143,10024,,,,,,,,,,,,,,,,,,
15.5,9.5,12.875,10025,,,,,,,,,,,,,,,,,,
15,11.66666667,13.57142857,10026,,,,,,,,,,,,,,,,,,
13,11,12.77777778,10027,,,,,,,,,,,,,,,,,,
11,11.33333333,12.6,10028,,,,,,,,,,,,,,,,,,
14.66666667,11.33333333,12,10029,,,,,,,,,,,,,,,,,,
13.5,10.66666667,12.66666667,10030,,,,,,,,,,,,,,,,,,
14,10.66666667,12.85714286,10031,,,,,,,,,,,,,,,,,,
14,11.14285714,11.875,10032,,,,,,,,,,,,,,,,,,
15,11.2,12.875,10033,,,,,,,,,,,,,,,,,,
12.5,11.625,13.25,10034,,,,,,,,,,,,,,,,,,
12.5,11.6,12.75,10035,,,,,,,,,,,,,,,,,,
14.75,11.6,13.8,10036,,,,,,,,,,,,,,,,,,
12,11.16666667,13,10037,,,,,,,,,,,,,,,,,,
13.5,11.5,13.125,10038,,,,,,,,,,,,,,,,,,
13.5,10.57142857,11.57142857,10039,,,,,,,,,,,,,,,,,,
13.5,12,13,10040,,,,,,,,,,,,,,,,,,
13.66666667,10.8,12.55555556,10041,,,,,,,,,,,,,,,,,,
12,12.71428571,12.66666667,10042,,,,,,,,,,,,,,,,,,
16,11,13.85714286,10043,,,,,,,,,,,,,,,,,,
15.5,11.4,13.25,10044,,,,,,,,,,,,,,,,,,
11.66666667,13.33333333,13,10045,,,,,,,,,,,,,,,,,,
13.4,11.875,12.55555556,10046,,,,,,,,,,,,,,,,,,
13.33333333,11.8,11.42857143,10047,,,,,,,,,,,,,,,,,,
12,10.6,12.22222222,10048,,,,,,,,,,,,,,,,,,
13,9.5,12.77777778,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LSGO,Hop,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
13.4,13.34482759,11.95121951,10001,,,,,,,,,,,,,,,,,,
12,13,11.90322581,10002,,,,,,,,,,,,,,,,,,
13.66666667,11,13.26984127,10003,,,,,,,,,,,,,,,,,,
12.11111111,11.77272727,12.66666667,10004,,,,,,,,,,,,,,,,,,
12.07692308,11.06666667,12.02777778,10005,,,,,,,,,,,,,,,,,,
12.88235294,12.82608696,13.27586207,10006,,,,,,,,,,,,,,,,,,
13.6,12.85714286,14.4,10007,,,,,,,,,,,,,,,,,,
12,11.11764706,13.41176471,10008,,,,,,,,,,,,,,,,,,
14.4375,9.9,12.38461538,10009,,,,,,,,,,,,,,,,,,
11.76923077,12.77272727,11.97674419,10010,,,,,,,,,,,,,,,,,,
12.57142857,12.64285714,11.45454545,10011,,,,,,,,,,,,,,,,,,
13,9.727272727,13,10012,,,,,,,,,,,,,,,,,,
14,10.29411765,13,10013,,,,,,,,,,,,,,,,,,
12,12.73333333,13.38095238,10014,,,,,,,,,,,,,,,,,,
14.58823529,12.42105263,14.05660377,10015,,,,,,,,,,,,,,,,,,
13,10.05263158,12.06060606,10016,,,,,,,,,,,,,,,,,,
13.75,11.85714286,12.5,10017,,,,,,,,,,,,,,,,,,
13,12.4,12.33333333,10018,,,,,,,,,,,,,,,,,,
10.2,10.46153846,12.77777778,10019,,,,,,,,,,,,,,,,,,
14.66666667,10.69230769,12.61363636,10020,,,,,,,,,,,,,,,,,,
13.2,11.92307692,12.70454545,10021,,,,,,,,,,,,,,,,,,
13.4,11.875,13.41666667,10022,,,,,,,,,,,,,,,,,,
13,11.25,12.25531915,10023,,,,,,,,,,,,,,,,,,
10.75,11.94444444,12.875,10024,,,,,,,,,,,,,,,,,,
