source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
65, 201, 567, 16304982, 5, 191, 10, 67, 10000000, 10000000, 0.826555, 1, 0.602495, 0, 0, 242, 1
10, 198, 625, 16304982, 5, 59, 67, 191, 223, 279, 1, 1, 1, 0.755839, 0.756032, 242, 0
10, 198, 625, 16305279, 6, 59, 67, 191, 223, 279, 1, 1, 1, 0.755814, 0.756008, 242, 0
191, 201, 728, 16305280, 6, 166, 223, 59, 279, 67, 1, 0.961162, 1, 0.824181, 1, 242, 1
67, 201, 776, 16305707, 7, 223, 166, 279, 59, 173, 0.965895, 1, 1, 1, 0.753954, 242, 0
59, 198, 840, 16305707, 7, 55, 173, 223, 166, 279, 1, 1, 1, 1, 1, 242, 1
279, 201, 843, 16305707, 7, 130, 55, 173, 223, 166, 0.754472, 1, 1, 1, 0.967554, 242, 0
279, 201, 843, 16313907, 8, 130, 55, 173, 223, 166, 0.753806, 1, 1, 1, 0.966702, 242, 0
166, 198, 873, 16313907, 8, 55, 173, 223, 199, 106, 0.966756, 1, 1, 0.32345, 0.215707, 242, 0
223, 201, 882, 16313907, 8, 55, 173, 130, 248, 3, 1, 1, 0.538433, 0.644289, 0.322427, 242, 0
173, 201, 929, 16313907, 8, 55, 3, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 242, 1
55, 201, 954, 16313907, 8, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 242, 0
55, 201, 954, 16318107, 9, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 242, 0
164, 337, -1, 17299999, 1, 100, 61, 181, 7, 275, 1, 1, 0.874627, 1, 0.549903, 235, 0
7, 367, -1, 17300200, 2, 253, 181, 275, 100, 150, 1, 1, 1, 1, 0.63997, 235, 0
100, 398, 19, 17300200, 2, 48, 280, 152, 111, 237, 1, 1, 1, 0.780107, 1, 235, 1
61, 423, 1, 17300200, 2, 5, 150, 253, 181, 46, 0.967781, 1, 1, 1, 0.614013, 235, 0
181, 476, 1, 17300200, 2, 46, 5, 105, 150, 253, 0.965723, 1, 0.753972, 1, 1, 235, 1
237, 398, 101, 17300627, 3, 111, 201, 48, 292, 280, 0.971787, 0.826527, 1, 0.862078, 1, 235, 0
280, 398, 135, 17300627, 3, 111, 292, 41, 268, 48, 1, 0.969838, 0.756378, 0.864671, 1, 235, 0
152, 401, 142, 17300627, 3, 256, 111, 48, 10000000, 10000000, 1, 0.888437, 1, 0, 0, 235, 0
