source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
381, 612, 598, 10318088, 9, 90, 84, 445, 255, 4, 0.906906, 0.968453, 0.724445, 0.684504, 1, 197, 0, 0, 1, 1, 0, 0
277, 620, 598, 10318088, 9, 255, 149, 84, 445, 144, 1, 0.763659, 0.860847, 0.603704, 0.602977, 197, 0, 0, 0, 1, 0, 0
129, 642, 598, 10318088, 9, 411, 445, 281, 84, 255, 1, 0.75436, 0.701465, 0.968453, 0.722286, 197, 1, 1, 1, 0, 0, 0
328, 787, 401, 10318360, 9, 387, 249, 392, 111, 93, 1, 0.305135, 0.120925, 1, 1, 197, 1, 1, 1, 0, 0, 0
407, 787, 401, 10318360, 9, 411, 111, 93, 147, 140, 0.783091, 1, 1, 0.601179, 1, 197, 1, 0, 0, 0, 0, 0
469, 787, 401, 10318360, 9, 411, 111, 76, 93, 140, 1, 1, 0.932452, 1, 1, 197, 1, 0, 0, 0, 0, 0
84, 685, 598, 10318398, 10, 411, 281, 255, 417, 445, 0.91629, 0.913538, 0.943827, 0.929759, 0.862096, 197, 1, 0, 0, 1, 1, 0
90, 712, 601, 10318398, 10, 149, 265, 281, 411, 355, 1, 1, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
255, 780, 601, 10318399, 10, 94, 9, 132, 149, 265, 1, 0.970669, 1, 1, 1, 197, 0, 0, 0, 0, 0, 0
445, 787, 601, 10318399, 10, 94, 70, 9, 203, 132, 1, 0.948397, 0.970669, 0.866893, 1, 197, 0, 0, 0, 0, 0, 0
140, 843, 398, 10318696, 10, 385, 249, 392, 128, 76, 0.412213, 0.361927, 0.322939, 0.189271, 1, 197, 1, 1, 1, 1, 0, 0
111, 801, 467, 10318696, 10, 265, 87, 284, 147, 411, 1, 0.86119, 0.684265, 0.702723, 0.564844, 197, 0, 0, 0, 0, 1, 0
93, 882, 398, 10318696, 10, 385, 392, 128, 25, 249, 1, 0.430585, 0.214872, 0, 0.323362, 197, 1, 1, 1, 1, 1, 0
76, 922, 401, 10318696, 10, 128, 25, 249, 392, 385, 0.859489, 0.753234, 1, 1, 1, 197, 0, 0, 0, 1, 1, 0
355, 801, 612, 10318774, 11, 37, 94, 132, 9, 172, 0.956635, 1, 1, 0.862782, 0.634972, 197, 0, 0, 0, 0, 0, 0
411, 801, 612, 10318774, 11, 94, 132, 9, 37, 172, 1, 1, 0.862782, 0.724421, 0.687306, 197, 0, 0, 0, 0, 0, 0
281, 820, 598, 10318774, 11, 70, 362, 9, 132, 260, 0.948329, 0.876506, 0.970629, 1, 0.754077, 197, 0, 1, 0, 0, 0, 0
149, 840, 598, 10318774, 11, 362, 424, 416, 473, 370, 0.93283, 0.769822, 0.646777, 0.637012, 0.607609, 197, 1, 1, 1, 1, 1, 0
424, 1001, 612, 10319188, 12, 39, 314, 54, 146, 231, 0.963335, 0.824802, 1, 1, 0.475276, 197, 0, 0, 0, 0, 1, 0
87, 798, 518, 10322896, 11, 94, 132, 411, 355, 265, 1, 1, 1, 1, 0.96645, 197, 0, 0, 1, 1, 1, 0
147, 798, 552, 10322896, 11, 94, 471, 417, 339, 445, 1, 1, 1, 1, 0.969389, 197, 0, 1, 1, 1, 1, 0
284, 798, 580, 10322897, 11, 37, 94, 132, 149, 265, 1, 1, 1, 0.969618, 1, 197, 0, 0, 0, 0, 0, 0
