source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
309, 198, 384, 201, 12305950, 3, 4, 264, 27, 84, 706, 598, 221, 112, 264, 292, 178, 0
309, 198, 412, 198, 12305950, 4, 4, 292, 27, 84, 706, 598, 221, 112, 264, 292, 178, 0
309, 198, 432, 198, 12305950, 1, 4, 221, 27, 84, 706, 598, 221, 112, 264, 292, 178, 0
309, 198, 476, 198, 12305950, 2, 4, 112, 27, 84, 706, 598, 221, 112, 264, 292, 178, 0
432, 198, 476, 198, 12306533, 3, 5, 112, 221, 84, 706, 598, 266, 88, 112, 41, 116, 0
432, 198, 524, 198, 12306533, 2, 5, 88, 221, 84, 706, 598, 266, 88, 112, 41, 116, 0
432, 198, 526, 201, 12306533, 5, 5, 116, 221, 84, 706, 598, 266, 88, 112, 41, 116, 0
432, 198, 584, 201, 12306533, 1, 5, 266, 221, 84, 706, 598, 266, 88, 112, 41, 116, 0
584, 201, 598, 290, 12307117, 1, 6, 47, 266, 84, 706, 598, 47, 295, 227, 187, 102, 0
584, 201, 707, 198, 12307117, 5, 6, 102, 266, 84, 706, 598, 47, 295, 227, 187, 102, 0
598, 290, 598, 333, 12307700, 2, 7, 187, 47, 84, 706, 598, 21, 187, 138, 114, 85, 0
598, 333, 598, 491, 12312283, 3, 8, 85, 187, 84, 706, 598, 21, 114, 85, 138, 35, 0
598, 491, 601, 514, 12320866, 5, 9, 21, 85, 84, 706, 598, 287, 220, 124, 250, 21, 0
598, 491, 598, 527, 12320866, 3, 9, 124, 85, 84, 706, 598, 287, 220, 124, 250, 21, 0
598, 491, 598, 565, 12320867, 2, 9, 220, 85, 84, 706, 598, 287, 220, 124, 250, 21, 0
598, 491, 598, 584, 12320867, 1, 9, 287, 85, 84, 706, 598, 287, 220, 124, 250, 21, 0
707, 198, 688, 201, 12323700, 1, 7, 86, 102, 84, 706, 598, 86, 194, 274, 227, 120, 0
707, 198, 732, 201, 12323700, 2, 7, 194, 102, 84, 706, 598, 86, 194, 274, 227, 120, 0
688, 201, 801, 214, 12324283, 1, 8, 274, 86, 84, 706, 598, 274, 120, 227, 58, 10000000, 0
801, 214, 801, 234, 12324866, 4, 9, 227, 274, 84, 706, 598, 58, 120, 40, 227, 10000000, 0
