SIGO,PDR,,,,,,,,,,,,,,,,,,,,,,
48.5,26.85714286,21.6,33330,,,,,,,,,,,,,,,,,,,,
48.6,20.85714286,22,40000,,,,,,,,,,,,,,,,,,,,
29.16666667,29.85714286,22,44000,,,,,,,,,,,,,,,,,,,,
32,27,27,44400,,,,,,,,,,,,,,,,,,,,
30.66666667,27.125,37.33333333,44440,,,,,,,,,,,,,,,,,,,,
31.85714286,26.625,29.66666667,50000,,,,,,,,,,,,,,,,,,,,
23.625,27.28571429,40.875,55000,,,,,,,,,,,,,,,,,,,,
32.6,24.25,21.66666667,55500,,,,,,,,,,,,,,,,,,,,
35.83333333,43.25,27.9,55550,,,,,,,,,,,,,,,,,,,,
46.75,32.14285714,22.3,60000,,,,,,,,,,,,,,,,,,,,
25.42857143,26.44444444,29,66000,,,,,,,,,,,,,,,,,,,,
25.71428571,28.125,28.33333333,66600,,,,,,,,,,,,,,,,,,,,
40.25,20.33333333,29.625,66660,,,,,,,,,,,,,,,,,,,,
38.5,40.33333333,30.11111111,70000,,,,,,,,,,,,,,,,,,,,
30.83333333,19.625,24.125,77000,,,,,,,,,,,,,,,,,,,,
33.6,24.77777778,35.25,77700,,,,,,,,,,,,,,,,,,,,
33.33333333,24.2,27.11111111,77770,,,,,,,,,,,,,,,,,,,,
28.2,34.85714286,32,80000,,,,,,,,,,,,,,,,,,,,
26.5,27.14285714,19.25,88000,,,,,,,,,,,,,,,,,,,,
35.6,30.5,24.44444444,88800,,,,,,,,,,,,,,,,,,,,
42,25.88888889,23.11111111,88880,,,,,,,,,,,,,,,,,,,,
42.75,28,26.88888889,90000,,,,,,,,,,,,,,,,,,,,
32.2,40.6,26.75,99000,,,,,,,,,,,,,,,,,,,,
34.66666667,43.14285714,24.42857143,99900,,,,,,,,,,,,,,,,,,,,
0.643759925,0.525218564,0.405773923,,,,,,,,,,,,,,,,,,,,,
LSGO,Overhead,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
33.6,27.75,45.25,10000,,,,,,,,,,,,,,,,,,,,
42.16666667,33,34.66666667,11000,,,,,,,,,,,,,,,,,,,,
39.75,32.125,36.625,11100,,,,,,,,,,,,,,,,,,,,
44,32,35.11111111,11110,,,,,,,,,,,,,,,,,,,,
