SIGO,PDR,,,,LSGO,PDR,,,SIGO- LSGO,,
13.33333333,9.75,12.22222222,10049,,,,,,,,
,,,,,,,,,,,
LSGO,Hop,,,,,,,,,,
200,300,400,seed,,,,,,,,
14,12.16,11.88,10001,,,,,,,,
13,10.55555556,11.375,10002,,,,,,,,
13,11.38095238,13.13513514,10003,,,,,,,,
12.92857143,8.5,13.06666667,10004,,,,,,,,
15.5,11.47368421,12.58064516,10005,,,,,,,,
13.3125,13.25,13.48148148,10006,,,,,,,,
12,12.38888889,13.8,10007,,,,,,,,
14.4,12.14285714,12.86956522,10008,,,,,,,,
14.83333333,10.92857143,13.77272727,10009,,,,,,,,
14,13.26315789,12.20833333,10010,,,,,,,,
12.4,11.88461538,12,10011,,,,,,,,
15,9.826086957,12.37037037,10012,,,,,,,,
15.5,11.44444444,13,10013,,,,,,,,
13.77777778,11.66666667,12.02857143,10014,,,,,,,,
15.83333333,12.1875,12.83673469,10015,,,,,,,,
12,10.5,12.76595745,10016,,,,,,,,
0,13.25,12.39393939,10017,,,,,,,,
13.28571429,13.625,12.2,10018,,,,,,,,
12.5,9.647058824,12.65,10019,,,,,,,,
16.38461538,10.0625,12.66666667,10020,,,,,,,,
12.14285714,13.36363636,12.95833333,10021,,,,,,,,
14.07692308,11.05882353,14.1875,10022,,,,,,,,
13,8.571428571,12.50980392,10023,,,,,,,,
12.23076923,13.34782609,12.69230769,10024,,,,,,,,
13.39130435,12.79166667,13.65957447,10025,,,,,,,,
15,12.25,12.85714286,10026,,,,,,,,
10.9,11.42105263,12.04651163,10027,,,,,,,,
10,11.61290323,12.75,10028,,,,,,,,
14.09090909,10,13,10029,,,,,,,,
13.42105263,10.5,12.5,10030,,,,,,,,
17,7.3,13,10031,,,,,,,,
14.6,11.4,10.83333333,10032,,,,,,,,
15,12.07692308,12.44444444,10033,,,,,,,,
12.83333333,12.76190476,11.67857143,10034,,,,,,,,
13.5,12.54545455,12.5625,10035,,,,,,,,
14.4,11.66666667,13.14285714,10036,,,,,,,,
12.5,10,13.70967742,10037,,,,,,,,
12.95,11.90909091,12.61764706,10038,,,,,,,,
15,10.71428571,14.46153846,10039,,,,,,,,
13.21428571,11.96153846,13.14893617,10040,,,,,,,,
12.75,11.22222222,13.10204082,10041,,,,,,,,
10.33333333,12.47826087,13.58064516,10042,,,,,,,,
13.72727273,11.34782609,14.16,10043,,,,,,,,
15,10.14285714,13.68085106,10044,,,,,,,,
12.72727273,13.05555556,13.02777778,10045,,,,,,,,
11.45454545,10,12.91428571,10046,,,,,,,,
13.55555556,12.26086957,13.09375,10047,,,,,,,,
13.33333333,12.21428571,13.07692308,10048,,,,,,,,
14.6,9.909090909,13.53061224,10049,,,,,,,,
,,,,,,,,,,,
SIGOÅ™LSGOÅ´,PDR-average,,,,,,,,,,
200,300,400,seed,,,,,,,,
0.23877551,0.53877551,0.802040816,,,,,,,,,
0.234693878,0.495918367,0.746938776,,,,,,,,,
,,,,,,,,,,,
SIGOÅ™LSGOÅ´,delay-average,,,,,,,,,,
200,300,400,seed,,,,,,,,
0.031564833,0.028598482,0.036825899,,,,,,,,,
0.033486206,0.029159078,0.036171975,,,,,,,,,
,,,,,,,,,,,
SIGOÅ™LSGOÅ´,overhead-average,,,,,,,,,,
200,300,400,seed,,,,,,,,
61.50340136,27.4739553,26.15555556,,,,,,,,,
59.88027211,31.9531746,26.1074668,,,,,,,,,
,,,,,,,,,,,
SIGOÅ™LSGOÅ´,hop-average,,,,,,,,,,
200,300,400,seed,,,,,,,,
13.38265306,11.09166667,12.5670473,,,,,,,,,
13.2732366,11.42901447,12.85733387,,,,,,,,,
